1000	100	3.029	2.4753	0.364	0.189
2000	100	7.2186	6.1443	0.697	0.376
3000	100	17.1082	15.522	1.023	0.563	
4000	100	17.079	14.98	1.355	0.742
6000	100	36.8037	33.69	2.003	1.107
10000	100	85.987	80.77	3.34	1.87	
20000	100	176.19	166.64	6.60	3.67	
