2	32.60	0.13
5	51.48	0.21
10	72.74	0.30
20	102.961	1.02961
40	145.592	1.45592
60	177.86	1.7786
80	205.12	2.0512
100	229.23	2.2923
120	252.5	2.525
140	272.7	2.727
160	290.11	2.9011
180	307.55	3.0755
200	324.19	3.2419
220	339.88	3.3988
240	354.77	3.5477
260	370.02	3.7002
280	383.624	3.83624
300	397.04	3.9704
